"","list","radians","center","pos_1","pos_2","type","trial_type","degrees","human_manmade","cat_obj","old_new","key1","key2","response","map_file","PE","sequence","object","isFiller","key_resp.keys","key_resp2.keys","stimulus","truck","natural_manmade_resp.corr","natural_manmade_resp.keys","participant","handedness","conf_resp.keys","phase","key_resp_5.keys","age","gender","truck_det_acc","location_error","trial_n_block","block","trial_n","x","y","fixations","center_low","fixation_error","fixation_prediction","age_group"
"47","lists/102/stimuli_position_map_1_seq_1.csv","3.99803622636987","221.226890756303","311.226890756303","131.226890756303","low","first7","229.18679004668","human-made","1","",NA,NA,NA,"google_map_2.png","7.95989929037792","1","objects/1/1_38.jpg","1.0","","","Bag_Gift.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,2,1,21,1404.5,228.100006103516,35.0568504972285,"221.226890756303",165.870060450549,173.829959740926,"CH"
"49","lists/102/stimuli_position_map_1_seq_1.csv","3.95949461499257","221.226890756303","311.226890756303","131.226890756303","low","first7","226.977398311676","natural","0","",NA,NA,NA,"google_map_2.png","5.75050755537367","1","objects/1/1_75.jpg","1.0","","","Teardrop.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,4,1,22,876.599975585938,301.299987792969,109.259038221331,"221.226890756303",117.718360090345,111.967852534972,"CH"
"51","lists/102/stimuli_position_map_1_seq_1.csv","3.88240010930617","221.226890756303","311.226890756303","131.226890756303","low","first7","222.557968049398","human-made","1","",NA,NA,NA,"google_map_2.png","1.33107729309593","1","objects/2/2_86.jpg","1.0","","","Envelope_Letter.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,6,1,23,NA,NA,NA,"221.226890756303",NA,NA,"CH"
"52","lists/102/stimuli_position_map_1_seq_1.csv","3.60061977089611","221.226890756303","311.226890756303","131.226890756303","low","first7","206.404955019522","human-made","0","",0,0,NA,"google_map_2.png","14.8219357367804","1","objects/2/2_49.jpg","1.0","None","None","Mop.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,7,1,24,828.700012207031,734.200012207031,235.937099016949,"221.226890756303",29.5321439974266,14.7102082606456,"CH"
"53","lists/102/stimuli_position_map_1_seq_1.csv","3.892029896","221.226890756303","311.226890756303","131.226890756303","low","first7","223.109994038216","human-made","0","",0,0,NA,"google_map_2.png","1.88310328191375","1","objects/2/2_47.jpg","1.0","None","None","BicycleWheel.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,8,1,25,NA,NA,NA,"221.226890756303",NA,NA,"CH"
"54","lists/102/stimuli_position_map_1_seq_1.csv","3.70266828132979","221.226890756303","311.226890756303","131.226890756303","low","truck_det","212.25486963037","None","0","",0,0,NA,"google_map_2.png","8.97202112593223","1","truck_5.png","None","None","None","None","truck_5.png",NA,"",102,"r",NA,"encoding","",9,"m",0,NA,9,1,26,763.099975585938,397.600006103516,144.125183775641,"221.226890756303",68.1296858547295,77.1017069806625,"CH"
"56","lists/102/stimuli_position_map_1_seq_1.csv","3.76892359896603","221.226890756303","311.226890756303","131.226890756303","low","first7","216.052945163658","natural","0","",NA,NA,NA,"google_map_2.png","5.17394559264454","1","objects/2/2_16.jpg","1.0","","","Tomato.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,11,1,27,741.599975585938,668.400024414062,210.451787087794,"221.226890756303",5.60115807586371,10.7751036685087,"CH"
"57","lists/102/stimuli_position_map_1_seq_1.csv","3.95892672944881","221.226890756303","311.226890756303","131.226890756303","low","first7","226.944844363308","human-made","0","",0,0,NA,"google_map_2.png","5.7179536070052","1","objects/2/2_109.jpg","1.0","None","None","Tire_Hollow.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,12,1,28,NA,NA,NA,"221.226890756303",NA,NA,"CH"
"59","lists/102/stimuli_position_map_1_seq_1.csv","4.44749357474022","221.226890756303","311.226890756303","131.226890756303","low","target","254.951860972369","natural","1","",NA,NA,NA,"google_map_2.png","33.7249702160669","1","objects/1/1_70.jpg","1.0","","","Radish.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,14,1,29,700.799987792969,728.200012207031,215.982660866238,"221.226890756303",38.9692001061314,5.24422989006538,"CH"
"60","lists/102/stimuli_position_map_1_seq_1.csv","3.38554154995331","221.226890756303","131.226890756303","269.495798319328","singletons","singletons","194.075630252101","human-made","0","",0,0,NA,"google_map_2.png","None","1","objects/1/1_90.jpg","0.0","None","None","Bench_Black.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,15,1,30,789.799987792969,657.299987792969,214.574186767976,"221.226890756303",20.498556515875,6.65270398832698,"CH"
"61","lists/102/stimuli_position_map_1_seq_1.csv","6.28","221.226890756303","221.226890756303","245.361344537815","singletons","singletons","360.0","natural","0","",0,0,NA,"google_map_2.png","None","1","objects/1/1_96.jpg","0.0","None","None","Shark_Hammerhead.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,16,1,31,830.200012207031,753.5,238.701968558576,"221.226890756303",121.298031441424,17.4750778022729,"CH"
"62","lists/102/stimuli_position_map_1_seq_1.csv","3.89065745710492","221.226890756303","311.226890756303","131.226890756303","low","truck_det","223.031319197098","None","0","",0,0,NA,"google_map_2.png","1.80442844079502","1","truck_3.png","None","None","space","None","truck_3.png",NA,"",102,"r",NA,"encoding","",9,"m",1,NA,17,1,32,916.5,564.900024414062,209.78744135211,"221.226890756303",13.2438778449876,11.4394494041926,"CH"
"63","lists/102/stimuli_position_map_1_seq_1.csv","5.9177583225258","221.226890756303","311.226890756303","131.226890756303","medium","target","339.234553520587","human-made","0","",0,0,NA,"google_map_2.png","118.007662764285","1","objects/1/1_11.jpg","0.0","None","None","ShoeLace_Flat.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,18,1,33,NA,NA,NA,"221.226890756303",NA,NA,"CH"
"64","lists/102/stimuli_position_map_1_seq_1.csv","5.25645562606867","221.226890756303","311.226890756303","131.226890756303","medium","target","301.325481749159","natural","0","",0,0,NA,"google_map_2.png","80.0985909928567","1","objects/1/1_2.jpg","0.0","None","None","Honeycomb.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,19,1,34,752.5,346.700012207031,137.029093392512,"221.226890756303",164.296388356647,84.1977973637914,"CH"
"65","lists/102/stimuli_position_map_1_seq_1.csv","3.46803392561648","221.226890756303","311.226890756303","131.226890756303","low","target","198.804492551263","natural","0","",0,0,NA,"google_map_2.png","22.4223982050395","1","objects/1/1_88.jpg","0.0","None","None","Corn_Kernels.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,20,1,35,895.599975585938,615.5,229.536469766509,"221.226890756303",30.7319772152464,8.30957901020639,"CH"
"66","lists/102/stimuli_position_map_1_seq_1.csv","2.59614379084967","221.226890756303","221.226890756303","233.294117647059","singletons","singletons","148.823529411765","natural","0","",0,0,NA,"google_map_2.png","None","1","objects/1/1_48.jpg","0.0","None","None","Bird_Cardinal.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,21,1,36,830.200012207031,709.099975585938,232.490401725543,"221.226890756303",83.6668723137775,11.2635109692395,"CH"
"67","lists/102/stimuli_position_map_1_seq_1.csv","3.54342110177404","221.226890756303","221.226890756303","332.848739495798","singletons","singletons","203.126050420168","human-made","0","",0,0,NA,"google_map_2.png","None","1","objects/1/1_65.jpg","0.0","None","None","Hanger.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,22,1,37,915.900024414062,447.5,115.489775095088,"221.226890756303",87.6362753250798,105.737115661215,"CH"
"68","lists/102/stimuli_position_map_1_seq_1.csv","5.9930559920613","221.226890756303","311.226890756303","131.226890756303","medium","target","343.550980436635","natural","0","",0,0,NA,"google_map_2.png","122.324089680333","1","objects/1/1_58.jpg","0.0","None","None","Leg.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,23,1,38,1428.5,-434.200012207031,64.3167541886376,"221.226890756303",80.7657737520026,156.910136567665,"CH"
"69","lists/102/stimuli_position_map_1_seq_1.csv","3.51557018940863","221.226890756303","311.226890756303","131.226890756303","low","truck_det","201.52950130368","None","0","",0,0,NA,"google_map_2.png","19.6973894526229","1","truck_6.png","None","None","space","None","truck_6.png",NA,"",102,"r",NA,"encoding","",9,"m",1,NA,24,1,39,811.5,584.099975585938,196.539815344953,"221.226890756303",4.98968595872742,24.6870754113504,"CH"
"70","lists/102/stimuli_position_map_1_seq_1.csv","2.94882901940873","221.226890756303","311.226890756303","131.226890756303","low","target","169.041153978845","human-made","0","",0,0,NA,"google_map_2.png","52.1857367774578","1","objects/1/1_5.jpg","0.0","None","None","DusterFeather.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,25,1,40,690.599975585938,367.600006103516,147.383174338203,"221.226890756303",21.657979640642,73.8437164181,"CH"
"71","lists/102/stimuli_position_map_1_seq_1.csv","1.31697847528386","221.226890756303","311.226890756303","131.226890756303","high","target","75.4955813856991","human-made","0","",0,0,NA,"google_map_2.png","145.731309370603","1","objects/1/1_44.jpg","0.0","None","None","Glass_Bowl.jpg","truck_1.png",NA,"",102,"r",NA,"encoding","",9,"m",NA,NA,26,1,41,NA,NA,NA,"221.226890756303",NA,NA,"CH"
